cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
95612,"Cahill, James L.",Applicant," $4,315 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,On the Plurality of Worlds: Cinema and Literature of Exploration from the Little Prince to the Planet of the Apes,French cinema history and theory; exploration and globalization; decolonization; animals and environment,Insight Grants,Subventions Savoir,Cinema,Cinéma,Communications and Media Studies,Communications et études des médias,Arts and culture,Beaux-arts et culture
95613,"Morrison, Aimee H.",Applicant," $7,381 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2019,Rhetoric of the Selfie,new media studies; cultural studies of technology; photography studies; life writing; feminism; multimedia,Insight Grants,Subventions Savoir,"Literature, Other Language and",Littérature et langue (autres),"Literature, Modern Languages and",Littératures et langues modernes,Information Technologies,Technologies de l'information
95614,"Deutsch Salamon, Sabrina S.",Applicant," $6,331 ",2019,York University,Université York,ON,Ontario,Ontario,2019,Fostering Trust Between Leaders and Their Followers: A Signaling Framework,trust; signaling; leadership,Insight Grants,Subventions Savoir,Organizational Behaviour,Comportement organisationnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
95616,"Milkie, Melissa",Applicant," $11,801 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Time Together and Apart: Clarifying the Family Time Paradox in Canada and the United States,time pressure; family; parents; quality time; work-family; gender,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Family,Famille
95619,"Dubreuil, Laure",Applicant," $8,220 ",2019,Trent University,Trent University,ON,Ontario,Ontario,2019,INVESTIGATING THE TRANSITION TO AGRICULTURAL SOCIETIES IN THE SOUTHERN LEVANT THROUGH THE STUDY OF GROUND STONE TOOLS,archaeology; origins of agriculture; Southwest Asia; ground stone tools; functional analysis; use-wear; residues,Insight Grants,Subventions Savoir,Origins and Development of Agriculture,Origines et développement de l'agriculture,Archaeology,Archéologie,Agriculture,Agriculture
95620,"Katz, Larissa M.",Applicant," $5,042 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Private Authority in a Constitutional Order,private law; property; justice; rights; authority; office; equality; ownership; cities,Insight Grants,Subventions Savoir,Legal Theory and Philosophy of Law,Doctrine et philosophie du droit,Law,Droit,Law and Justice,Droit et justice
95621,"Cockfield, Arthur",Applicant," $6,641 ",2019,Queen's University,Queen's University,ON,Ontario,Ontario,2019,Invisible Underworld: Inhibiting Global Financial Crime,crime; financial crime; offshore tax evasion; international money laundering; terrorist financing; law; political science,Insight Grants,Subventions Savoir,Fiscal Law,Droit fiscal,Law,Droit,Law and Justice,Droit et justice
95623,"Sanders, Graham M.",Applicant," $1,900 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,New Translation for New Awareness of Chinese Literature,Chinese literature; Chinese novels; narratology; translation,Insight Grants,Subventions Savoir,"Literature, Other Language and",Littérature et langue (autres),"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95626,"Schafer, Markus",Applicant," $4,533 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Distant Ties: Geographical Proximity and the Function of Older Adults' Social Networks,social networks; ageing; social support; intergenerational relations; Europe; proximity,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Elderly,Personnes âgées
95627,"Raynauld, Isabelle",Applicant," $15,127 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Raconter-Cartographier. La scénarisation transmédiale,scénarisation; cinéma; jeu vidéo; télévision; transmédialité,Insight Grants,Subventions Savoir,"Cinema, Film Studies and Video","Cinéma, études cinématographiques et vidéo",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
95628,"Axsen, Jonn",Applicant," $10,858 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2019,Autonomous vehicles as really new products with societal impacts: Exploring Canadian consumers' perceptions with a mixed method approach,autonomous vehicle; consumer behaviour; innovation; really new product; survey; interview; climate policy; energy,Insight Grants,Subventions Savoir,Environment,Environnement,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Environment and Sustainability,Environnement et développement durable
95629,"Banerjee, Sandeep",Applicant," $7,583 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,"Mountains of the Mind: The Himalaya and the Colonial Ecocritical Imagination, 1750-1950",colonialism; ecocriticism; literary geography; landscape; globalization; production of space; production of nature; environmental humanities,Insight Grants,Subventions Savoir,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95630,"Mégret, Frédéric",Applicant," $3,753 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Parallel international law,international law,Insight Grants,Subventions Savoir,International Law,Droit international,Law,Droit,Law and Justice,Droit et justice
95631,"Otero, Gerardo",Applicant," $5,480 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2019,"Food Sovereignty and Agrarian Movements in Mexico, 1986-2024",peasants; food; agriculture; food self-sufficiency; social movements; state policy,Insight Grants,Subventions Savoir,Social Organization,Organisation sociale,Sociology,Sociologie,Politics and government,Politique et gouvernement
95632,"So, Richard",Applicant," $6,145 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Redlining Culture: A Data History of American Race and Fiction,digital humanities; American literature and culture; cultural analytics,Insight Grants,Subventions Savoir,"Literature, American",Littérature américaine,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95633,"Franklin, Rebecca",Applicant," $6,185 ",2019,Memorial University of Newfoundland,Memorial University of Newfoundland,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2019,Facilitating higher levels of professional success and personal well-being: Why differentiation of self is crucial for entrepreneurs,entrepreneurship; management; self-regulation; motivation; passion,Insight Grants,Subventions Savoir,Other Administrative Studies,Sciences administratives (autres),"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
95634,"Bouchard, Marie J.",Applicant," $11,085 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,Étudier les innovations et les transformations sociales à l'aide d'une base de données relationnelle,innovation sociale; transformations sociales; base de données relationnelle; mouvements sociaux; organisation; pratiques sociales,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Economic and Regional Development,Développement économique et régional
95635,"Thobani, Sunera",Applicant," $3,330 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,The Cinematic Lives of Islam and Muslims,representation; films; Islam; Muslims; War on Terror,Insight Grants,Subventions Savoir,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Communication,Communications
95637,"Severs, Jeffrey",Applicant," $3,605 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,"""postmodernism as they found It: contingent transformations in U.S. fiction, 1970-1976""",American literature; postmodernism; contemporary literature,Insight Grants,Subventions Savoir,"Literature, American - Criticism",Littérature américaine - Critique littéraire,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95638,"Griffith, Jane A.",Applicant," $3,241 ",2019,Ryerson University,Ryerson University,ON,Ontario,Ontario,2019,Watery Words: Narratives of Hydroelectric Damming in Canada,hydroelectric damming; Canadian energy sector; literature; archives; museums; settler colonial studies; resistance; narrative; rhetoric; Canada-U.S. comparative,Insight Grants,Subventions Savoir,Content and Discourse Analysis,Analyse du discours et des messages médiatisés,Communications and Media Studies,Communications et études des médias,Communication,Communications
95639,"Conteh, Charles Z.",Applicant," $6,350 ",2019,Brock University,Brock University,ON,Ontario,Ontario,2019,local and regional economic re-Invention in an age of industrial restructuring,regional economic development; new regionalism; urban/local governance; multilevel governance; strategic management,Insight Grants,Subventions Savoir,Government and Public Administration,Gouvernement et administration publique,Political Science,Sciences politiques,Economic and Regional Development,Développement économique et régional
